semente,turno,braco,veiculos,dist_km,custo_brl,cobertura,pico,acima_tempo
36,tarde_1,cw1,2,139.99,339.98,92.3076923076923,43,2
36,tarde_1,multi,4,152.92,371.38,48.35164835164835,20,2
36,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
36,tarde_2,multi,3,116.8,283.67,91.66666666666667,20,0
36,noite_1,cw1,3,210.4,510.98,98.73417721518987,64,3
36,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
36,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
36,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
37,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
37,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
37,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
37,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
37,tarde_1,cw1,2,143.29,347.99,92.3076923076923,43,2
37,tarde_1,multi,3,134.82,327.43,48.35164835164835,20,2
37,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
37,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
37,noite_1,cw1,3,212.7,516.56,98.73417721518987,64,3
37,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
37,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
37,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
38,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
38,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
38,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
38,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
38,tarde_1,cw1,2,142.19,345.32,92.3076923076923,43,2
38,tarde_1,multi,4,153.92,373.82,48.35164835164835,20,1
38,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
38,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
38,noite_1,cw1,3,211.95,514.74,98.73417721518987,64,3
38,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
38,noite_2,cw1,2,74.35,180.57,96.72131147540983,34,1
38,noite_2,multi,2,57.1,138.67,62.295081967213115,33,0
39,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
39,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
39,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
39,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
39,tarde_1,cw1,2,142.19,345.32,92.3076923076923,43,2
39,tarde_1,multi,4,169.4,411.41,48.35164835164835,20,2
39,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
39,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
39,noite_1,cw1,3,211.3,513.16,98.73417721518987,64,3
39,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
39,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
39,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
40,manha_1,cw1,4,166.4,404.12,89.8989898989899,46,2
40,manha_1,multi,5,202.1,490.81,89.8989898989899,43,1
40,manha_2,cw1,1,48.62,118.08,70.27027027027027,25,1
40,manha_2,multi,2,81.62,198.22,70.27027027027027,20,0
40,tarde_1,cw1,2,139.99,339.98,92.3076923076923,43,2
40,tarde_1,multi,4,152.92,371.38,48.35164835164835,20,2
40,tarde_2,cw1,1,62.82,152.56,91.66666666666667,31,1
40,tarde_2,multi,3,117.6,285.61,91.66666666666667,20,0
40,noite_1,cw1,3,214.15,520.09,98.73417721518987,64,3
40,noite_1,multi,3,110.0,267.15,30.379746835443036,21,0
40,noite_2,cw1,2,77.35,187.85,96.72131147540983,34,1
40,noite_2,multi,2,60.1,145.95,62.295081967213115,33,0
